time,price,volume
1577523120000,5.4,null
1577523240000,5.4,null
1577523361000,5.4,null
1577523757000,5.42,null
1577523840000,5.42,null
1577523960000,5.42,null
1577524080000,5.43,null
1577524200000,5.44,null
1577524320000,5.44,null
1577524440000,5.44,null
1577524560000,5.44,null
1577524680000,5.44,null
1577524800000,5.49,null
1577524920000,5.51,null
1577525040000,5.52,null
1577525160000,5.53,null
1577525281000,5.51,null
1577525400000,5.51,null
1577525520000,5.51,null
1577525640000,5.52,null
1577525760000,5.54,null
1577525880000,5.59,null
1577526000000,5.72,null
1577526120000,5.65,null
1575262400000,5.63,null
1577526360000,5.57,null
1577526480000,5.65,null
1577526600000,5.69,null
1577526720000,5.65,null
1577526840000,5.68,null
1577526960000,5.74,null
1577527080000,5.69,null
1577527200000,5.69,null
1577527320000,5.67,null
1577527440000,5.7,null
1577527560000,5.67,null
1577527680000,5.66,null
1577528281000,5.68,null
1577528641000,5.71,null
1577528760000,5.72,null
1577528880000,5.74,null
1577529000000,5.77,null
1577529120000,5.74,null
1577529240000,5.75,null
1577529360000,5.76,null
1577529480000,5.77,null
1577529600000,5.77,null
1577529720000,5.81,null
1577529840000,5.83,null
1577529960000,5.86,null
1577530338000,5.93,null
1577530440000,5.93,null
1577530560000,5.91,null
1577530680000,5.9,null
1577531281000,5.8,null
1577531400000,5.83,null
1577531520000,5.81,null
1577531640000,5.8,null
1577531760000,5.78,null
1577531880000,5.78,null
1577532000000,5.72,null
1577532120000,5.72,null
1577532240000,5.72,null
1577532360000,5.71,null
1577532480000,5.71,null
1577532600000,5.71,null
1577532720000,5.76,null
1577532841000,5.75,null
1577532960000,5.79,null
1577533681000,5.73,null
1577533802000,5.73,null
1577533920000,5.73,null
1577534040000,5.73,null
1577534160000,5.78,null
1577534281000,5.79,null
1577534400000,5.81,null
1577534520000,5.82,null
1577534642000,5.83,null
1577534760000,5.83,null
1577534880000,5.81,null
1577535000000,5.81,null
1577535121000,5.82,null
1577535240000,5.82,null
1577535362000,5.81,null
1577535480000,5.82,null
1577535619000,5.82,null
1577535726000,5.8,null
1577535840000,5.78,null
1577535963000,5.8,null
1577536080000,5.76,null
1577536201000,5.78,null
1577536320000,5.78,null
1577536440000,5.8,null
1577536561000,5.78,null
1577536681000,5.76,null
1577536800000,5.76,null
1577536921000,5.76,null
1577537040000,5.81,null
1577537160000,5.78,null
1577537280000,5.78,null
1577537400000,5.78,null
1577538001000,5.78,null
1577538862000,5.8,null
1577539462000,5.79,null
1577539560000,5.79,null
1577540401000,5.83,null
1577540762000,5.91,null
1577540880000,5.93,null
1577541000000,5.93,null
1577541120000,5.95,null
1577541240000,5.95,null
1577541361000,5.93,null
1577541481000,5.95,null
1577541601000,5.96,null
1577541720000,5.99,null
1577541840000,5.98,null
1577541960000,5.96,null
1577542080000,5.97,null
1577542200000,5.97,null
1577542321000,5.97,null
1577542440000,5.95,null
1577542560000,5.94,null
1577542680000,5.95,null
1577542800000,5.94,null
1577542921000,5.94,null
1577543041000,5.91,null
1577543160000,5.93,null
1577543280000,5.92,null
1577543401000,5.95,null
1577543521000,5.95,null
1577543641000,5.97,null
1577543761000,5.97,null
1577543880000,5.95,null
1577544000000,5.96,null
1577544121000,5.97,null
1577544240000,5.97,null
1577544360000,5.97,null
1577544480000,5.98,null
1577544601000,5.99,null
1577544722000,5.97,null
1577544841000,5.97,null
1577544960000,5.96,null
1577545081000,5.96,null
1577545200000,5.96,null
1577546062000,6.5,null
1577546662000,10.26,null
1577546760000,10.4,null
1577546881000,8.6,null
1577547000000,9.04,null
1577547120000,9.06,null
1577547240000,6.55,null
1577547360000,6.55,null
1577547480000,8,null
1577547600000,7.02,null
1577547720000,6.85,null
1577547840000,6.9,null
1577547960000,6.79,null
1577548080000,6.7,null
1577548200000,6.62,null
1577548320000,6.38,null
1577548440000,6.62,null
1577548802000,6.33,null
1577548920000,6.32,null
1577549040000,6.28,null
1577549160000,6.28,null
1577549280000,6.35,null
1577549400000,6.34,null
1577549520000,6.28,null
1577549640000,6.29,null
1577549760000,6.25,null
1577549880000,6.15,null
1577550121000,6.09,null
1577550262000,6.16,null
1577550361000,6.15,null
1577550480000,6.18,null
1577550601000,6.17,null
1577550862000,6.19,null
1577550960000,6.17,null
1577551080000,6.16,null
1577551200000,6.04,null
1577551320000,6.03,null
1577551440000,6.1,null
1577551560000,6.14,null
1577551680000,6.27,null
1577551801000,6.17,null
1577551920000,6.25,null
1577552062000,6.27,null
1577552401000,6.25,null
1577552662000,6.27,null
1577552760000,6.24,null
1577552881000,6.23,null
1577553000000,6.22,null
1577553122000,6.2,null
1577553242000,6.19,null
1577553844000,6.18,null
1577553961000,6.18,null
1577554080000,6.11,null
1577554200000,6.1,null
1577554561000,6.11,null
1577554925000,6.15,null
1577555040000,6.13,null
1577555160000,6.16,null
1577555280000,6.15,null
1577555400000,6.11,null
1577555520000,6.11,null
1577555640000,6.12,null
1577555760000,6.12,null
1577555880000,6.14,null
1577556000000,6.14,null
1577556120000,6.15,null
1577556241000,6.15,null
1577556360000,6.15,null
1577556480000,6.15,null
1577556601000,6.14,null
1577556721000,6.14,null
1577556840000,6.14,null
1577556961000,6.15,null
1577557080000,6.16,null
1577557200000,6.14,null
1577557321000,6.13,null
1577557440000,6.12,null
1577557563000,6.12,null
1577557680000,6.12,null
1577557800000,6.11,null
1577557920000,6.11,null
1577558040000,6.12,null
1577558160000,6.12,null
1577558280000,6.11,null
1577558401000,6.11,null
1577558520000,6.11,null
1577558641000,6.1,null
1577558760000,6.1,null
1577558880000,6.08,null
1577559001000,6.07,null
1577559601000,6.09,null
1577559961000,6.06,null
1577560080000,6.08,null
1577560200000,6.07,null
1577560321000,6.06,null
1577560440000,6.05,null
1577560561000,6.04,null
1577560680000,6.07,null
1577560800000,6.07,null
1577560920000,6.07,null
1577561040000,6.05,null
1577561160000,6.04,null
1577561280000,6.03,null
1577561400000,6.07,null
1577561520000,6.07,null
1577561641000,6.05,null
1577561760000,6.05,null
1577561880000,6.07,null
1577562000000,6.07,null
1577562120000,6.07,null
1577562240000,6.05,null
1577562361000,6.05,null
1577562480000,6.07,null
1577562600000,6.07,null
1577562721000,6.08,null
1577562841000,6.09,null
1577562961000,6.07,null
1577563080000,6.08,null
1577563200000,6.07,null
1577563320000,6.07,null
1577563440000,6.05,null
1577563560000,6.05,null
1577563681000,6.03,null
1577563801000,6.03,null
1577563920000,6.03,null
1577564041000,6.03,null
1577564160000,6.04,null
1577564280000,6.06,null
1577564400000,6.04,null
1577564520000,6.04,null
1577564640000,6.02,null
1577564760000,6.03,null
1577564880000,6.01,null
1577565000000,5.93,null
1577565120000,5.9,null
1577565240000,5.9,null
1577565360000,5.9,null
1577565480000,5.9,null
1577565600000,5.92,null
1577565720000,5.89,null
1577565841000,5.93,null
1577565960000,5.93,null
1577566080000,5.91,null
1577566201000,5.94,null
1577566320000,5.99,null
1577566440000,5.94,null
1577566560000,5.98,null
1577566680000,6.01,null
1577566801000,5.98,null
1577566920000,5.98,null
1577567062000,5.96,null
1577568001000,5.95,null
