TIMEMS,lastbtc,lastada,lastbat,lasthot,lasttrx,lastwaves,lastxrp,lastxtz,volumebtc,volumeada,volumebat,volumehot,volumetrx,volumewaves,volumexrp,volumextz
1587813320736,52799,0.299,1.29,0.0023,0.097,7.05,1.36,19,895.55,9505126.00,1397741.30,403809364.50,10672178.00,901470.94,2272770.50,936537.11
1587813380683,52747,0.299,1.3,0.0023,0.097,7.05,1.36,19,894.92,9549377.00,1377751.80,404244326.50,10288137.00,901470.94,2272770.50,936636.97
1587814565664,52656.1,0.299,1.29,0.0024,0.098,7.09,1.36,19.01,889.72,9609051.00,1409306.00,401369454.50,10033595.00,898787.79,2257453.00,944327.17
1587814627211,52766,0.299,1.29,0.0024,0.098,7.09,1.36,19.01,888.07,9609051.00,1409306.00,401369454.50,10033595.00,899041.43,2257466.70,944709.18
1587814818895,52629,0.299,1.29,0.0023,0.098,7.07,1.36,19,888.61,9608502.00,1405683.20,402369284.50,10014888.00,893295.33,2249950.90,944845.17
1587814880219,52743,0.299,1.29,0.0023,0.098,7.07,1.36,19,885.72,9608502.00,1405683.20,402368041.50,10014888.00,893295.33,2249844.20,944845.17
1587814941801,52743,0.299,1.29,0.0023,0.098,7.07,1.36,19,885.69,9599997.00,1407683.20,402136411.50,10014788.00,891190.07,2254791.30,944845.17
1587815003312,52745,0.296,1.29,0.0023,0.098,7.07,1.36,19,887.00,9600741.00,1407683.20,401034237.50,10014538.00,891241.29,2254791.30,944845.17
1587815065227,52620,0.296,1.29,0.0023,0.098,7.08,1.36,19,887.26,9600741.00,1407711.30,401058024.50,10010868.00,891283.45,2254791.30,945415.17
1587815126888,52620,0.299,1.29,0.0023,0.097,7.08,1.36,19.01,886.85,9600585.00,1407711.30,401058024.50,10010817.00,889338.91,2253941.30,947200.36
1587815188559,52620,0.299,1.29,0.0023,0.097,7.08,1.35,19.01,885.94,9601263.00,1408439.30,400482970.50,10010817.00,887611.56,2253013.00,947200.36
1587815251982,52620,0.299,1.28,0.0023,0.097,7.08,1.35,19.03,885.85,9601263.00,1410284.60,400482970.50,10010132.00,881111.56,2253013.00,947454.16
1587815393490,52745,0.299,1.28,0.0023,0.097,7.08,1.35,18.97,885.76,9599052.00,1408527.50,323647542.50,10008012.00,867676.41,2250258.70,949429.64
1587815455627,52720,0.299,1.29,0.0023,0.097,7.08,1.35,18.97,884.23,9599052.00,1407722.00,293647542.50,10007718.00,851334.01,2250247.80,954101.74
1587815517561,52665,0.299,1.29,0.0023,0.097,7.08,1.36,19.03,883.94,9599052.00,1407284.40,284360399.50,10057491.00,849456.00,2250613.60,954102.24
1587815578642,52745,0.298,1.29,0.0023,0.097,7.07,1.36,19.03,884.49,9600052.00,1405565.40,284360399.50,10003917.00,849597.44,2216643.50,954249.65
1587815640193,52745,0.298,1.29,0.0023,0.097,7.07,1.36,19.03,883.16,9599502.00,1402633.20,284360399.50,9864095.00,849597.44,2217293.70,954278.45
1587815701608,52750,0.298,1.29,0.0023,0.097,7.06,1.36,19.06,884.41,9601744.00,1402633.20,284402960.50,9862295.00,850170.53,2217293.70,954811.80
1587815762647,52550,0.298,1.28,0.0023,0.097,7.07,1.36,19.06,889.95,9601744.00,1390915.40,284402960.50,9862295.00,850734.80,2215732.30,954811.80
1587815823827,52600,0.298,1.29,0.0023,0.097,7.06,1.36,18.97,888.18,9601744.00,1390517.70,279246670.50,9825154.00,851293.25,2215485.00,955311.09
1587815884939,52749,0.298,1.29,0.0023,0.098,7.07,1.36,19,886.31,9561218.00,1390435.70,279246670.50,9832261.00,851498.17,2205036.20,955363.72
1587815946312,52656,0.298,1.29,0.0023,0.098,7.07,1.36,19,885.55,9543208.00,1389415.30,279246670.50,9832261.00,851500.92,2207412.20,955567.45
1587816007749,52720,0.299,1.29,0.0023,0.098,7.07,1.36,19,885.22,9545241.00,1389415.30,279246670.50,9829200.00,851308.43,2207412.20,955567.45
