time,last,volume
1577603963000,43436,393.48
1577604000000,43436,393.48
1577604032000,43436,393.48
1577604063000,43436,393.48
1577604094000,43436,393.52
1577604125000,43436,393.52
1577604156000,43436,393.52
1577604187000,43436,393.52
1577604218000,43436,393.52
1577604249000,43436,393.52
1577604281000,43436,393.52
1577604312000,43436,393.48
1577604343000,43519,393.58
1577604375000,43519,393.51
1577604406000,43519,393.51
1577604437000,43519,393.51
1577604468000,43519,393.50
1577604499000,43519,393.50
1577604621000,43520,393.07
1577604654000,43520,393.05
1577604686000,43520,393.05
1577604719000,43520,393.05
1577604751000,43520,393.05
1577604783000,43520,393.05
1577604814000,43520,393.00
1577604845000,43520,393.00
1577604876000,43520,393.00
1577604908000,43520,392.78
1577604939000,43520,392.78
1577604970000,43520,392.57
1577605001000,43520,392.46
1577605032000,43436,392.49
1577605063000,43436,392.49
1577605094000,43436,392.49
1577605125000,43436,392.49
1577605157000,43436,392.43
1577605188000,43436,392.43
1577605219000,43436,392.41
1577605251000,43436,392.41
1577605282000,43436,392.41
1577605313000,43436,392.07
1577605344000,43436,392.07
1577605375000,43436,392.03
1577605406000,43436,391.73
1577605437000,43436,391.73
1577605468000,43436,391.73
1577605500000,43436,391.93
1577605531000,43403,392.63
1577605563000,43436,393.02
1577605594000,43436,393.02
1577605625000,43436,392.81
1577605656000,43436,392.81
1577605687000,43436,392.81
1577605719000,43436,392.81
1577605749000,43436,392.80
1577605780000,43436,392.81
1577605811000,43520,392.81
1577605843000,43520,392.81
1577605874000,43520,392.81
1577605911000,43520,392.81
1577605942000,43520,392.81
1577605974000,43520,392.80
1577606006000,43520,392.80
1577606037000,43520,392.80
1577606068000,43520,392.80
1577606099000,43520,392.80
1577606131000,43520,392.80
1577606162000,43436,392.80
1577606193000,43436,392.80
1577606224000,43436,392.80
1577606255000,43436,392.80
1577606287000,43436,392.80
1577606318000,43436,392.80
1577606349000,43436,392.79
1577606380000,43436,392.79
1577606411000,43436,392.79
1577606443000,43436,392.79
1577606474000,43436,392.78
1577606505000,43436,392.78
1577606536000,43436,392.78
1577606567000,43436,392.78
1577606598000,43436,392.79
1577606629000,43436,392.79
1577606661000,43436,392.79
1577606692000,43515,392.98
1577606723000,43515,392.94
1577606755000,43519,392.99
1577606788000,43519,392.95
1577606820000,43519,393.16
1577606852000,43519,393.16
1577606883000,43519,393.16
1577606914000,43519,393.16
1577606946000,43519,393.16
1577606978000,43519,392.80
1577607010000,43519,392.75
1577607041000,43519,392.72
1577607073000,43519,392.60
1577607104000,43519,392.29
1577607136000,43519,392.29
1577607169000,43519,392.29
1577607201000,43520,392.39
1577607232000,43520,392.39
1577607264000,43520,392.40
1577607296000,43452,392.50
1577607328000,43452,392.50
1577607360000,43452,392.50
1577607391000,43520,392.59
1577607423000,43520,392.59
1577607454000,43520,390.67
1577607485000,43452,390.69
1577607517000,43452,390.69
1577607548000,43452,390.69
1577607580000,43452,390.37
1577607611000,43452,390.37
1577607643000,43452,390.37
1577607674000,43452,390.17
1577607706000,43452,390.17
1577607738000,43452,390.17
1577607770000,43452,390.17
1577607801000,43452,390.17
1577607832000,43452,390.17
1577607865000,43452,390.35
1577607896000,43450,390.35
1577607927000,43450,390.23
1577607959000,43520,390.38
1577607990000,43520,390.28
1577608021000,43520,390.28
1577608054000,43520,390.03
1577608086000,43520,390.03
1577608117000,43520,389.73
1577608148000,43520,389.73
1577608179000,43520,389.73
1577608211000,43450,389.73
1577608242000,43450,389.73
1577608273000,43450,389.73
1577608305000,43450,389.73
1577608336000,43450,389.73
1577608367000,43450,389.71
1577608399000,43450,389.63
1577608430000,43450,389.63
1577608462000,43450,389.69
1577608493000,43450,389.69
1577608512000,43450,389.69
1577608543000,43450,389.69
1577608561000,43450,389.69
1577608592000,43500,389.67
1577608623000,43500,389.67
1577608654000,43500,389.67
1577608686000,43500,389.67
1577608717000,43500,389.67
1577608749000,43500,389.67
1577608780000,43450,389.68
1577608812000,43450,389.68
1577608843000,43500,389.83
